#,WORDS,MEANINGS,SYNONYMS,ANTONYMS
1,abound,large numbers or amounts,proliferate|  superabound|  thrive|  flourish|  abundant|  copious|  lavish|  profuse|  munificent|  prolific|  inexhaustible|  galore,fall| waste| dry| lack| wane| evaporate
2,amorphous,without a clearly defined shape or form,shapeless| formless| unformed| structureless| indefinite| vague| nebulous,formed| shaped| shapen| structured
3,austere,"strict in manner, having no comforts or luxuries",sober| frugal| spartan| ascetic| puritanical| abstemious,clement| forbearing| gentle| indulgent| lax| lenient
4,belie,"fail to give true impression of something, contradict, fail to justify",contradict| conceal| falsify| debunk| confute| colour,betray| represent
5,capricious,"sudden change of mood, unpredictable, fickle",fickle| mercurial| erratic| fitful| arbitrary| temperamental| whimsical| wayward| quirky| haphazard,certain| changeless| constant| immutable| invariable| predictable
6,cerebral,"of the cerebrum of the brain, intellectual rather than physical",blue| eggheaded| geeky| highbrow| highbrowed| intellectual,anti-intellectual| lowbrow| nonintellectual| philistine
7,congenial,pleasant or agreeable because suited to one's taste,pleasant| pleasurable| satisfying| gratifying| adapted,disagreeable| pleasureless| unpalatable| unpleasant| unwelcome
8,conspicuous,"clearly visible, attracting notice or attention",clear| discernible| flagrant| ostentatious| overt| blatant| inescapable,inconspicuous| unemphatic| unflamboyant| unnoticeable| unobtrusive| unremarkable
9,cursory,hasty and therefore not through or detailed,perfunctory| desultory| superficial| mechanical| automatic| fleeting| slapdash,deliberate| unhurried| unrushed
10,daunting,"difficult to deal with, discourage through fear",intimidating| disconcerting| unnerving| demoralizing| forbidding| ominous| taxing,reassuring| calming| quieting| settling| soothing| comforting
11,deify,worship or regard as a god,revere| venerate| reverence| extol| exalt| adore| immortalize| lionize| aggrandize,abase| degrade| demean| humble| humiliate
12,didactic,"instructive, particularly so as to appear patronizing",educative| doctrinal| academic| scholastic| edifying| heuristic| pedantic,unsound| misinstructive| erroneous| pernicious| misleading 
13,disseminate,spread widely,disperse| diffuse| proclaim| promulgate| dissipate| herald| trumpet,repress| suppress| stifle| discountenance| extirpate| eradicate 
14,feasible,possible to do easily or conveniently,practical| achievable| viable| realistic| suitable| expedient| constructive| earthly,hopeless| impossible| impracticable| infeasible| nonviable| unattainable
15,flout,"openly disregard, mock, scoff",defy| scorn| disdain| contravene| infringe| breach| infract,unpleasant| unacceptable| disagreeable| ungrateful| disobliged 
16,homogeneous,of the same kind,equivalent| analogous| parallel| kindred| correlative| congruent| cognate,disparate| distinct| distinguishable| nonequivalent| noninterchangeable| variable
17,humdrum,lacking excitement or variety; boringly monotonous,mundane| dreary| tedious| monotonous| banal| prosaic| quotidian| commonplace| workaday| pedestrian| vanilla,absorbing| engaging| engrossing| gripping| interesting| intriguing
18,insipid,"tasteless, lacking interest",bland| weak| vapid| common place| proasic| trite| banal| hackneyed,flavorful| flavorsome| sapid| savory| tasteful| tasty
19,loquacious,talkative,garrulous| voluble| v.ose| profuse| prolix| effusive| gabby,closemouthed| laconic| reserved| reticent| taciturn| tight-lipped
20,misanthropic,having or showing dislike of other people,reclusive| uncongenial| cynical| sceptical| jaundiced| narrow-minded,uncynical
21,misnomer,a wrong or inaccurate name or designation,baptismal name| Christian name| first name| forename| given name| appellation,N/A
22,negligent,failing to take proper care over something,lax| heedless| slack| slapdash| slipshod| barratrous| delinquent| inadvertent,attentive| careful| conscientious| nonnegligent
23,obsequious,obedient to an excessive or servile degree,servile| ingratiating| unctuous| sycophantic| subservient| submissive| abject| bootlicking,insurgent| mutinous| dogged| hardheaded| headstrong| mulish
24,placate,make less angry,pacify| appease| mollify| conciliate| propitiate,anger| enrage| incense| inflame| infuriate| ire
25,proclivity,a tendency to choose or do something regularly,inclination| disposition| propensity| bias| penchant| predilection| taste,aversion| disinclination| indisposition 
26,puerile,childishly silly,infantile| juvenile| fatuous| foolish,adult| grown-up| mature
27,quixotic,"extremely idealistic, unrealistic, impractical",idealistic| romantic| extravagant| visionary| utopian| perfectionist| unrealistic| impossible| inefficacious,clear-eyed| clear-sighted
28,spendthrift,a person who spends money in an irresponsible way,profligate| prodigal| squanderer| extravagant,conserving| economical| economizing| frugal| penny-pinching| scrimping
29,taciturn,saying little,reticent| secretive| inarticulate| aloof| cold,blabby| chatty| communicative| conversational| gabby| garrulous
30,wary,feeling or showing caution about possible dangers,circumspect| prudent| vigilant| sceptical| dubious| guarded,careless| heedless| incautious| unguarded| unmindful| unsafe
31,adulterate,render poorer in quality by adding another substance,degrade| debase| contaminate| sully| dilute| weaken| bastardize| corrupt| vitiate,fine| pure| ultrapure| unadulterated| unalloyed| uncontaminated
32,advocate,publicly recommend or support,champion| proponent| patron| missionary| propagandist| apologist,adversary| antagonist| opponent
33,aggrandize,"increase power, status, reputation of someone",canonize| deify| dignify| elevate| ennoble| enshrine,abase| degrade| demean| humble| humiliate
